,description,displaySymbol,symbol,type
361,KRAFT HEINZ CO/THE,KHC-RM.ME,KHC-RM,Common Stock
362,BEST BUY CO INC,BBY-RM.ME,BBY-RM,Common Stock
363,VIACOMCBS INC - CLASS B,VIAC-RM.ME,VIAC-RM,Common Stock
364,HERSHEY CO/THE,HSY-RM.ME,HSY-RM,Common Stock
365,TOMSK DISTRIBUTION CO PJSC,TORS.ME,TORS,Common Stock
366,HCA HEALTHCARE INC,HCA-RM.ME,HCA-RM,Common Stock
367,INEM ETF INGOSSTRAKH EM BND,INEM.ME,INEM,ETP
368,GILEAD SCIENCES INC,GILD-RM.ME,GILD-RM,Common Stock
369,MRSK SIBIRI PJSC,MRKS.ME,MRKS,Common Stock
370,KAMCHATSKENERGO PJSC,KCHE.ME,KCHE,Common Stock
371,CLEVELAND-CLIFFS INC,CLF-RM.ME,CLF-RM,Common Stock
372,DOMINION ENERGY INC,D-RM.ME,D-RM,Common Stock
373,ROSNEFT OIL CO PJSC,ROSN.ME,ROSN,Common Stock
374,NUCOR CORP,NUE-RM.ME,NUE-RM,Common Stock
375,ASTRAKHAN POWER SALE CO PJSC,ASSB.ME,ASSB,Common Stock
376,AMICUS THERAPEUTICS INC,FOLD-RM.ME,FOLD-RM,Common Stock
377,TJX COMPANIES INC,TJX-RM.ME,TJX-RM,Common Stock
378,TRAVELERS COS INC/THE,TRV-RM.ME,TRV-RM,Common Stock
379,AFLAC INC,AFL-RM.ME,AFL-RM,Common Stock
380,BLACKROCK INC,BLK-RM.ME,BLK-RM,Common Stock
381,AMGF ETF GROWTH FACTOR,AMGF.ME,AMGF,ETP
382,ANSYS INC,ANSS-RM.ME,ANSS-RM,Common Stock
383,CELANESE CORP,CE-RM.ME,CE-RM,Common Stock
384,UNITY SOFTWARE INC,U-RM.ME,U-RM,Common Stock
385,TYLER TECHNOLOGIES INC,TYL-RM.ME,TYL-RM,Common Stock
386,CHIPOTLE MEXICAN GRILL INC,CMG-RM.ME,CMG-RM,Common Stock
387,IDEXX LABORATORIES INC,IDXX-RM.ME,IDXX-RM,Common Stock
388,AMIN ETF INNOVATIONS,AMIN.ME,AMIN,ETP
389,CHELYABINSK METALLURGICAL PL,CHMK.ME,CHMK,Common Stock
390,M VIDEO PJSC,MVID.ME,MVID,Common Stock
391,VIRGIN GALACTIC HOLDINGS INC,SPCE-RM.ME,SPCE-RM,Common Stock
392,CHELYABINSK FORGE&PRESS-BRD,CHKZ.ME,CHKZ,Common Stock
393,DONSKOY FACTORY OF RADIODETA,DZRD.ME,DZRD,Common Stock
394,ROBERT HALF INTL INC,RHI-RM.ME,RHI-RM,Common Stock
395,GOODRX HOLDINGS INC-CLASS A,GDRX-RM.ME,GDRX-RM,Common Stock
396,LUMEN TECHNOLOGIES INC,LUMN-RM.ME,LUMN-RM,Common Stock
397,AIR PRODUCTS & CHEMICALS INC,APD-RM.ME,APD-RM,Common Stock
398,ROSGOSSTRAKH PJSC,RGSS.ME,RGSS,Common Stock
399,BIOGEN INC,BIIB-RM.ME,BIIB-RM,Common Stock
400,SHERWIN-WILLIAMS CO/THE,SHW-RM.ME,SHW-RM,Common Stock
401,ROKU INC,ROKU-RM.ME,ROKU-RM,Common Stock
402,MICROSTRATEGY INC-CL A,MSTR-RM.ME,MSTR-RM,Common Stock
403,TOYOTA MOTOR CORP -SPON ADR,TM-RM.ME,TM-RM,ADR
404,VIPSHOP HOLDINGS LTD - ADR,VIPS-RM.ME,VIPS-RM,ADR
405,COTERRA ENERGY INC,COG-RM.ME,COG-RM,Common Stock
406,BAKER HUGHES CO,BKR-RM.ME,BKR-RM,Common Stock
407,SAMARAENERGO PJSC,SAGO.ME,SAGO,Common Stock
408,AMC ENTERTAINMENT HLDS-CL A,AMC-RM.ME,AMC-RM,Common Stock
409,FINEX RUSSIAN RTS EQUITY ETF,FXRL.ME,FXRL,ETP
410,CHEVRON CORP,CVX-RM.ME,CVX-RM,Common Stock
411,MULTISISTEMA OOO,MSST.ME,MSST,Common Stock
412,ANTHEM INC,ANTM-RM.ME,ANTM-RM,Common Stock
413,AUTOZONE INC,AZO-RM.ME,AZO-RM,Common Stock
414,ULTA BEAUTY INC,ULTA-RM.ME,ULTA-RM,Common Stock
415,F5 INC,FFIV-RM.ME,FFIV-RM,Common Stock
416,AKSP ETF S&P 500,AKSP.ME,AKSP,ETP
417,FISERV INC,FISV-RM.ME,FISV-RM,Common Stock
418,CASSAVA SCIENCES INC,SAVA-RM.ME,SAVA-RM,Common Stock
419,SIBERIAN GOSTINECS,SIBG.ME,SIBG,Common Stock
420,CARDINAL HEALTH INC,CAH-RM.ME,CAH-RM,Common Stock
421,T ROWE PRICE GROUP INC,TROW-RM.ME,TROW-RM,Common Stock
422,OPNB ETF RU BONDS,OPNB.ME,OPNB,ETP
423,BEYOND MEAT INC,BYND-RM.ME,BYND-RM,Common Stock
424,ROSSETI LENENERGO PJSC,LSNG.ME,LSNG,Common Stock
425,DEXCOM INC,DXCM-RM.ME,DXCM-RM,Common Stock
426,URALKALI PJSC,URKA.ME,URKA,Common Stock
427,VTBX ETF MOEX FUND,VTBX.ME,VTBX,ETP
428,RCMB ETF,RCMB.ME,RCMB,ETP
429,YANDEX NV-A,YNDX.ME,YNDX,Common Stock
430,FEDERAL GRID CO UNIFIED ENER,FEES.ME,FEES,Common Stock
431,VTBH ETF US HY CORP BONDS,VTBH.ME,VTBH,ETP
432,VELODYNE LIDAR INC,VLDR-RM.ME,VLDR-RM,Common Stock
433,METLIFE INC,MET-RM.ME,MET-RM,Common Stock
434,HUNTINGTON BANCSHARES INC,HBAN-RM.ME,HBAN-RM,Common Stock
435,SKILLZ INC,SKLZ-RM.ME,SKLZ-RM,Common Stock
436,URALSIB BANK PJSC,USBN.ME,USBN,Common Stock
437,PHILLIPS 66,PSX-RM.ME,PSX-RM,Common Stock
438,MARQETA INC-A,MQ-RM.ME,MQ-RM,Common Stock
439,SARATOVSKIY NEFTEPERERABATYV,KRKN.ME,KRKN,Common Stock
440,FLEETCOR TECHNOLOGIES INC,FLT-RM.ME,FLT-RM,Common Stock
441,GENUINE PARTS CO,GPC-RM.ME,GPC-RM,Common Stock
442,ILLINOIS TOOL WORKS,ITW-RM.ME,ITW-RM,Common Stock
443,RAYTHEON TECHNOLOGIES CORP,RTX-RM.ME,RTX-RM,Common Stock
444,CONOCOPHILLIPS,COP-RM.ME,COP-RM,Common Stock
445,EQT CORP,EQT-RM.ME,EQT-RM,Common Stock
446,FINEX CHINA UCITS ETF,FXCN.ME,FXCN,ETP
447,FMRU DIVIDEND ARISTOCRTS RF,FMRU.ME,FMRU,ETP
448,PALANTIR TECHNOLOGIES INC-A,PLTR-RM.ME,PLTR-RM,Common Stock
449,HOME DEPOT INC,HD-RM.ME,HD-RM,Common Stock
450,ROLLMAN GROUP PJSC,RLMN.ME,RLMN,Common Stock
451,KOKS PAO,KSGR.ME,KSGR,Common Stock
452,EHEALTH INC,EHTH-RM.ME,EHTH-RM,Common Stock
453,TGC-2 PJSC,TGKB.ME,TGKB,Common Stock
454,JACK HENRY & ASSOCIATES INC,JKHY-RM.ME,JKHY-RM,Common Stock
455,FIFTH THIRD BANCORP,FITB-RM.ME,FITB-RM,Common Stock
456,IMCB PJSC,GEMA.ME,GEMA,Common Stock
457,WABTEC CORP,WAB-RM.ME,WAB-RM,Common Stock
458,SKYWORKS SOLUTIONS INC,SWKS-RM.ME,SWKS-RM,Common Stock
459,TINKOFF NASDAQ BIOTECH ETF,TBIO.ME,TBIO,ETP
460,STEEL DYNAMICS INC,STLD-RM.ME,STLD-RM,Common Stock
461,ROSTOVOBLGAZ PJSC,RTGZ.ME,RTGZ,Common Stock
462,SBER CONSERVATIVE SMART FUND,SBCS.ME,SBCS,ETP
463,ALTICE USA INC- A,ATUS-RM.ME,ATUS-RM,Common Stock
464,AMETEK INC,AME-RM.ME,AME-RM,Common Stock
465,PAVLOVO BUS PJSC,PAZA.ME,PAZA,Common Stock
466,CLOVER HEALTH INVESTMENTS CO,CLOV-RM.ME,CLOV-RM,Common Stock
467,ATMOS ENERGY CORP,ATO-RM.ME,ATO-RM,Common Stock
468,WESTROCK CO,WRK-RM.ME,WRK-RM,Common Stock
469,KIMBERLY-CLARK CORP,KMB-RM.ME,KMB-RM,Common Stock
470,TRIMBLE INC,TRMB-RM.ME,TRMB-RM,Common Stock
471,ELANCO ANIMAL HEALTH INC,ELAN-RM.ME,ELAN-RM,Common Stock
472,OMNICOM GROUP,OMC-RM.ME,OMC-RM,Common Stock
473,KUZNETSKIY BANK PJSC,KUZB.ME,KUZB,Common Stock
474,VTBM ETF MMKT FUND,VTBM.ME,VTBM,ETP
475,OGK-2 PJSC,OGKB.ME,OGKB,Common Stock
476,PVH CORP,PVH-RM.ME,PVH-RM,Common Stock
477,EXPEDIA GROUP INC,EXPE-RM.ME,EXPE-RM,Common Stock
478,NPO NAUKA OJSC,NAUK.ME,NAUK,Common Stock
479,FINEX USA INFO TECH ETF,FXIT.ME,FXIT,ETP
480,PHOSAGRO PJSC,PHOR.ME,PHOR,Common Stock
481,HILTON WORLDWIDE HOLDINGS IN,HLT-RM.ME,HLT-RM,Common Stock
482,FINEX DEV MARKETS EX-USA USD,FXDM.ME,FXDM,ETP
483,AMEM ETF OPPORTUNITIES MRKT,AMEM.ME,AMEM,ETP
484,GAZPROM NEFT PJSC,SIBN.ME,SIBN,Common Stock
485,MONDELEZ INTERNATIONAL INC-A,MDLZ-RM.ME,MDLZ-RM,Common Stock
486,ALLSTATE CORP,ALL-RM.ME,ALL-RM,Common Stock
487,FINEX RUSSIAN CORP BONDS ETF,FXRU.ME,FXRU,ETP
488,CHARTER COMMUNICATIONS INC-A,CHTR-RM.ME,CHTR-RM,Common Stock
489,MSCI INC,MSCI-RM.ME,MSCI-RM,Common Stock
490,IRKUT CORP PJSC,IRKT.ME,IRKT,Common Stock
491,NVIDIA CORP,NVDA-RM.ME,NVDA-RM,Common Stock
492,TNS ENERGO ROSTOV-ON-DON PJS,RTSB.ME,RTSB,Common Stock
493,TATTELECOM PJSC,TTLK.ME,TTLK,Common Stock
494,PACKAGING CORP OF AMERICA,PKG-RM.ME,PKG-RM,Common Stock
495,UNDER ARMOUR INC-CLASS C,UA-RM.ME,UA-RM,Common Stock
496,SOUTHERN COPPER CORP,SCCO-RM.ME,SCCO-RM,Common Stock
497,AVANTOR INC,AVTR-RM.ME,AVTR-RM,Common Stock
498,SYNCHRONY FINANCIAL,SYF-RM.ME,SYF-RM,Common Stock
499,UTAIR AVIATION PJSC,UTAR.ME,UTAR,Common Stock
500,SBER DYNAMIC SMART FUND,SBDS.ME,SBDS,ETP
501,COPART INC,CPRT-RM.ME,CPRT-RM,Common Stock
502,NEWMONT CORP,NEM-RM.ME,NEM-RM,Common Stock
503,WW GRAINGER INC,GWW-RM.ME,GWW-RM,Common Stock
504,FORTIVE CORP,FTV-RM.ME,FTV-RM,Common Stock
505,TGC-1 PJSC,TGKA.ME,TGKA,Common Stock
506,MATTEL INC,MAT-RM.ME,MAT-RM,Common Stock
507,RCHY ETF RAIFF HYIELD BONDS,RCHY.ME,RCHY,ETP
508,KEYCORP,KEY-RM.ME,KEY-RM,Common Stock
509,EN+ GROUP INTERNATIONAL PJSC,ENPG.ME,ENPG,Common Stock
510,SCHWAB (CHARLES) CORP,SCHW-RM.ME,SCHW-RM,Common Stock
511,DOXIMITY INC-CLASS A,DOCS-RM.ME,DOCS-RM,Common Stock
512,SNAP-ON INC,SNA-RM.ME,SNA-RM,Common Stock
513,ROSBANK PJSC,ROSB.ME,ROSB,Common Stock
514,SBERBANK ASSET MANAGEMENT JS,SBRI.ME,SBRI,ETP
515,ALPHABET INC-CL C,GOOG-RM.ME,GOOG-RM,Common Stock
516,GEVO INC,GEVO-RM.ME,GEVO-RM,Common Stock
517,PARKER HANNIFIN CORP,PH-RM.ME,PH-RM,Common Stock
518,INTER RAO UES PJSC,IRAO.ME,IRAO,Common Stock
519,PERKINELMER INC,PKI-RM.ME,PKI-RM,Common Stock
520,SPB EXCHANGE PJSC,SPBE.ME,SPBE,Common Stock
521,ALIBABA GROUP HOLDING-SP ADR,BABA-RM.ME,BABA-RM,ADR
522,ORACLE CORP,ORCL-RM.ME,ORCL-RM,Common Stock
523,FUNKO INC-CLASS A,FNKO-RM.ME,FNKO-RM,Common Stock
524,PBF ENERGY INC-CLASS A,PBF-RM.ME,PBF-RM,Common Stock
525,KRASNYJ OCTYABR PJSC,KROT.ME,KROT,Common Stock
526,MOEX Russia Index,IMOEX.ME,IMOEX,Indice
527,AMPHENOL CORP-CL A,APH-RM.ME,APH-RM,Common Stock
528,TNS ENERGO NIZHNY NOVGOROD,NNSB.ME,NNSB,Common Stock
529,FOX CORP - CLASS B,FOX-RM.ME,FOX-RM,Common Stock
530,GOODYEAR TIRE & RUBBER CO,GT-RM.ME,GT-RM,Common Stock
531,AKSC ALFA CAPITAL COSMOS,AKSC.ME,AKSC,ETP
532,TELADOC HEALTH INC,TDOC-RM.ME,TDOC-RM,Common Stock
533,POSITIVE GROUP PJSC,POSI.ME,POSI,Common Stock
534,CIAN PLC-ADR,CIAN.ME,CIAN,ADR
535,LENZOLOTO PJSC,LNZL.ME,LNZL,Common Stock
536,NOVOROSSIYSK COMMERCIAL SEA,NMTP.ME,NMTP,Common Stock
537,TSOX TINKOFF SEMICONDUCTORS,TSOX.ME,TSOX,ETP
538,AMSC ETF DIGITAL FUTURE,AMSC.ME,AMSC,ETP
539,MOSCOW CITY TELEPHONE PJSC,MGTS.ME,MGTS,Common Stock
540,MERCK & CO. INC.,MRK-RM.ME,MRK-RM,Common Stock
541,NOVOROSSYISK GRAIN PLANT PJS,NKHP.ME,NKHP,Common Stock
542,INGERSOLL-RAND INC,IR-RM.ME,IR-RM,Common Stock
543,TESLA INC,TSLA-RM.ME,TSLA-RM,Common Stock
544,CITIZENS FINANCIAL GROUP,CFG-RM.ME,CFG-RM,Common Stock
545,GROD ETF,GROD.ME,GROD,ETP
546,POLYUS PJSC,PLZL.ME,PLZL,Common Stock
547,UIPATH INC - CLASS A,PATH-RM.ME,PATH-RM,Common Stock
548,1TBF ETF RUSSIAN EQUITY ESG,VTBF.ME,VTBF,ETP
549,RCMM ETF RAIFF MONEY MKT,RCMM.ME,RCMM,ETP
550,HONEYWELL INTERNATIONAL INC,HON-RM.ME,HON-RM,Common Stock
551,SARATOVENERGO PJSC,SARE.ME,SARE,Common Stock
552,TRUR ETF ALL WEATHER RUB,TRUR.ME,TRUR,ETP
553,FEDEX CORP,FDX-RM.ME,FDX-RM,Common Stock
554,FORD MOTOR CO,F-RM.ME,F-RM,Common Stock
555,RENAISSANCE INSURANCE GROUP,RENI.ME,RENI,Common Stock
556,CINCINNATI FINANCIAL CORP,CINF-RM.ME,CINF-RM,Common Stock
557,CORTEVA INC,CTVA-RM.ME,CTVA-RM,Common Stock
558,ECOLAB INC,ECL-RM.ME,ECL-RM,Common Stock
559,PRIMORIE BANK OJSC,PRMB.ME,PRMB,Common Stock
560,TAIWAN SEMICONDUCTOR-SP ADR,TSM-RM.ME,TSM-RM,ADR
561,ACRON PJSC,AKRN.ME,AKRN,Common Stock
562,MECHEL PJSC,MTLR.ME,MTLR,Common Stock
563,ABIOMED INC,ABMD-RM.ME,ABMD-RM,Common Stock
564,COMERICA INC,CMA-RM.ME,CMA-RM,Common Stock
565,INTL FLAVORS & FRAGRANCES,IFF-RM.ME,IFF-RM,Common Stock
566,BIONANO GENOMICS INC,BNGO-RM.ME,BNGO-RM,Common Stock
567,TWITTER INC,TWTR-RM.ME,TWTR-RM,Common Stock
568,BURYATZOLOTO PJSC,BRZL.ME,BRZL,Common Stock
569,AMVF ETF USA VALUE COMPANIES,AMVF.ME,AMVF,ETP
570,MCCORMICK & CO-NON VTG SHRS,MKC-RM.ME,MKC-RM,Common Stock
571,DOW INC,DOW-RM.ME,DOW-RM,Common Stock
572,EDISON INTERNATIONAL,EIX-RM.ME,EIX-RM,Common Stock
573,BELUGA GROUP PJSC,BELU.ME,BELU,Common Stock
574,METTLER-TOLEDO INTERNATIONAL,MTD-RM.ME,MTD-RM,Common Stock
575,LEGGETT & PLATT INC,LEG-RM.ME,LEG-RM,Common Stock
576,MRSK SEVERNOGO KAVKAZA PJSC,MRKK.ME,MRKK,Common Stock
577,VTBE ETF EM EQUITY,VTBE.ME,VTBE,ETP
578,WILLIAMS COS INC,WMB-RM.ME,WMB-RM,Common Stock
579,ALFA CAPITAL MANAGED EUROBND,AKEB.ME,AKEB,ETP
580,BCSB ETF HY SME BOND,BCSB.ME,BCSB,ETP
581,TELEDYNE TECHNOLOGIES INC,TDY-RM.ME,TDY-RM,Common Stock
582,RBC PJSC,RBCM.ME,RBCM,Common Stock
583,OPNA ETF - AS STOCKS,OPNA.ME,OPNA,ETP
584,COCA-COLA CO/THE,KO-RM.ME,KO-RM,Common Stock
585,CLOUDFLARE INC - CLASS A,NET-RM.ME,NET-RM,Common Stock
586,CHERKIZOVO GROUP PJSC,GCHE.ME,GCHE,Common Stock
587,KUZBASSKAYA TOPLIVNAYA CO,KBTK.ME,KBTK,Common Stock
588,FINEX CASH EQUIVALENTS USD,FXTB.ME,FXTB,ETP
589,PHARMSYNTHEZ PJSC,LIFE.ME,LIFE,Common Stock
590,ASHINSKIY METALLURGICAL WORK,AMEZ.ME,AMEZ,Common Stock
591,NISOURCE INC,NI-RM.ME,NI-RM,Common Stock
592,DELL TECHNOLOGIES -C,DELL-RM.ME,DELL-RM,Common Stock
593,ANALOG DEVICES INC,ADI-RM.ME,ADI-RM,Common Stock
594,EXELON CORP,EXC-RM.ME,EXC-RM,Common Stock
595,CHARLES RIVER LABORATORIES,CRL-RM.ME,CRL-RM,Common Stock
596,ARISTA NETWORKS INC,ANET-RM.ME,ANET-RM,Common Stock
597,KALUGA POWER SALE CO OJSC,KLSB.ME,KLSB,Common Stock
598,UNITED CO RUSAL INTERNATIONA,RUAL.ME,RUAL,Common Stock
599,KOVROVSKIY MEKHANIC,KMEZ.ME,KMEZ,Common Stock
600,MAGNIT PJSC,MGNT.ME,MGNT,Common Stock
601,VAXART INC,VXRT-RM.ME,VXRT-RM,Common Stock
602,VTBB ETF CORP BND SMART BETA,VTBB.ME,VTBB,ETP
603,BASHNEFT PJSC,BANE.ME,BANE,Common Stock
604,HUMAN STEM CELLS INSTITUTE P,ISKJ.ME,ISKJ,Common Stock
605,NIZHNEKAMSKSHINA PJSC,NKSH.ME,NKSH,Common Stock
606,MARATHON OIL CORP,MRO-RM.ME,MRO-RM,Common Stock
607,SPIRIT AIRLINES INC,SAVE-RM.ME,SAVE-RM,Common Stock
608,KAMAZ PJSC,KMAZ.ME,KMAZ,Common Stock
609,UNUM GROUP,UNM-RM.ME,UNM-RM,Common Stock
610,LKQ CORP,LKQ-RM.ME,LKQ-RM,Common Stock
611,BCSH ETF INVESTFUNDS FAVORIT,BCSH.ME,BCSH,ETP
612,APPHARVEST INC,APPH-RM.ME,APPH-RM,Common Stock
613,WYNN RESORTS LTD,WYNN-RM.ME,WYNN-RM,Common Stock
614,CLEANSPARK INC,CLSK-RM.ME,CLSK-RM,Common Stock
615,KELLOGG CO,K-RM.ME,K-RM,Common Stock
616,LUMINAR TECHNOLOGIES INC,LAZR-RM.ME,LAZR-RM,Common Stock
617,CAPITAL ONE FINANCIAL CORP,COF-RM.ME,COF-RM,Common Stock
618,ENEL RUSSIA PJSC,ENRU.ME,ENRU,Common Stock
619,CISCO SYSTEMS INC,CSCO-RM.ME,CSCO-RM,Common Stock
620,JACOBS ENGINEERING GROUP INC,J-RM.ME,J-RM,Common Stock
621,ROBINHOOD MARKETS INC - A,HOOD-RM.ME,HOOD-RM,Common Stock
622,COSTAR GROUP INC,CSGP-RM.ME,CSGP-RM,Common Stock
623,SYSCO CORP,SYY-RM.ME,SYY-RM,Common Stock
624,GAP INC/THE,GPS-RM.ME,GPS-RM,Common Stock
625,ADOBE INC,ADBE-RM.ME,ADBE-RM,Common Stock
626,MOODY'S CORP,MCO-RM.ME,MCO-RM,Common Stock
627,ABRAU-DURSO PJSC,ABRD.ME,ABRD,Common Stock
628,GAZ-TEK PJSC,GAZT.ME,GAZT,Common Stock
629,HUMANA INC,HUM-RM.ME,HUM-RM,Common Stock
630,BSPB CORP OBLIGATSII,SPBC.ME,SPBC,ETP
631,REGENERON PHARMACEUTICALS,REGN-RM.ME,REGN-RM,Common Stock
632,ESTEE LAUDER COMPANIES-CL A,EL-RM.ME,EL-RM,Common Stock
633,GEOTECH SEISMIC SERVICES PJS,GTSS.ME,GTSS,Common Stock
634,KYNDRYL HOLDINGS INC,KD-RM.ME,KD-RM,Common Stock
635,TIN'KOFF NASDAK TEKHNOLOGII,TECH.ME,TECH,ETP
636,FINEX US TIPS UCITS ETF,FXTP.ME,FXTP,ETP
637,MOSTOTREST PJSC,MSTT.ME,MSTT,Common Stock
638,YAKUTSK FUEL-ENERGY CO PJSC,YAKG.ME,YAKG,Common Stock
639,ROSSETI PJSC,RSTI.ME,RSTI,Common Stock
640,ARES CAPITAL CORP,ARCC-RM.ME,ARCC-RM,Common Stock
641,BOX INC - CLASS A,BOX-RM.ME,BOX-RM,Common Stock
642,AMEREN CORPORATION,AEE-RM.ME,AEE-RM,Common Stock
643,XPENG INC - ADR,XPEV-RM.ME,XPEV-RM,ADR
644,T-MOBILE US INC,TMUS-RM.ME,TMUS-RM,Common Stock
645,PROGRESSIVE CORP,PGR-RM.ME,PGR-RM,Common Stock
646,LOWE'S COS INC,LOW-RM.ME,LOW-RM,Common Stock
647,WORLD TRADE CENTER MOSCOW,WTCM.ME,WTCM,Common Stock
648,CONSTELLATION BRANDS INC-A,STZ-RM.ME,STZ-RM,Common Stock
649,DARDEN RESTAURANTS INC,DRI-RM.ME,DRI-RM,Common Stock
650,EBAY INC,EBAY-RM.ME,EBAY-RM,Common Stock
651,BOEING CO/THE,BA-RM.ME,BA-RM,Common Stock
652,TINKOFF EUROBONDS IN EURO,TBEU.ME,TBEU,ETP
653,BERKSHIRE HATHAWAY INC-CL B,BRKB-RM.ME,BRKB-RM,Common Stock
654,BECTON DICKINSON AND CO,BDX-RM.ME,BDX-RM,Common Stock
655,ASSURANT INC,AIZ-RM.ME,AIZ-RM,Common Stock
656,INVITAE CORP,NVTA-RM.ME,NVTA-RM,Common Stock
657,THERMO FISHER SCIENTIFIC INC,TMO-RM.ME,TMO-RM,Common Stock
658,AMERICAN WATER WORKS CO INC,AWK-RM.ME,AWK-RM,Common Stock
659,INTERNATIONAL PAPER CO,IP-RM.ME,IP-RM,Common Stock
660,DISCOVERY INC - A,DISCA-RM.ME,DISCA-RM,Common Stock
661,RUSSNEFT PJSC,RNFT.ME,RNFT,Common Stock
662,QUALCOMM INC,QCOM-RM.ME,QCOM-RM,Common Stock
663,VYBORG SHIPYARD JSC,VSYD.ME,VSYD,Common Stock
664,POLYMETAL INTERNATIONAL PLC,POLY.ME,POLY,Common Stock
665,IRKUTSKENERGO PJSC,IRGZ.ME,IRGZ,Common Stock
666,FIDELITY NATIONAL INFO SERV,FIS-RM.ME,FIS-RM,Common Stock
667,BLUEBIRD BIO INC,BLUE-RM.ME,BLUE-RM,Common Stock
668,KUBANENERGO PJSC,KUBE.ME,KUBE,Common Stock
669,FMC CORP,FMC-RM.ME,FMC-RM,Common Stock
670,AMERICAN INTERNATIONAL GROUP,AIG-RM.ME,AIG-RM,Common Stock
671,SBER PROGRESSIVE SMART FUND,SBPS.ME,SBPS,ETP
672,AMGEN INC,AMGN-RM.ME,AMGN-RM,Common Stock
673,ACADEMY SPORTS & OUTDOORS IN,ASO-RM.ME,ASO-RM,Common Stock
674,CARMAX INC,KMX-RM.ME,KMX-RM,Common Stock
675,ZOOM VIDEO COMMUNICATIONS-A,ZM-RM.ME,ZM-RM,Common Stock
676,SBERBANK OF RUSSIA PJSC,SBER.ME,SBER,Common Stock
677,DICK'S SPORTING GOODS INC,DKS-RM.ME,DKS-RM,Common Stock
678,AMGM ETF GOLD MINERS,AMGM.ME,AMGM,ETP
679,APPLE INC,AAPL-RM.ME,AAPL-RM,Common Stock
680,TAMBOV ENERGY RETAIL CO PJSC,TASB.ME,TASB,Common Stock
681,ILLUMINA INC,ILMN-RM.ME,ILMN-RM,Common Stock
682,BLOCK INC,SQ-RM.ME,SQ-RM,Common Stock
683,CLOROX COMPANY,CLX-RM.ME,CLX-RM,Common Stock
684,AMAZON.COM INC,AMZN-RM.ME,AMZN-RM,Common Stock
685,SPLUNK INC,SPLK-RM.ME,SPLK-RM,Common Stock
686,ZOETIS INC,ZTS-RM.ME,ZTS-RM,Common Stock
687,MONOLITHIC POWER SYSTEMS INC,MPWR-RM.ME,MPWR-RM,Common Stock
688,SONOS INC,SONO-RM.ME,SONO-RM,Common Stock
689,CDW CORP/DE,CDW-RM.ME,CDW-RM,Common Stock
690,LEVENHUK INC,LVHK.ME,LVHK,Common Stock
691,SOVCOMFLOT OAO,FLOT.ME,FLOT,Common Stock
692,ZIONS BANCORP NA,ZION-RM.ME,ZION-RM,Common Stock
693,OPNS ETF OTKRYTIE US STOCKS,OPNS.ME,OPNS,ETP
694,CUMMINS INC,CMI-RM.ME,CMI-RM,Common Stock
695,RESMED INC,RMD-RM.ME,RMD-RM,Common Stock
696,NOVARTIS AG-SPONSORED ADR,NVS-RM.ME,NVS-RM,ADR
697,VERISIGN INC,VRSN-RM.ME,VRSN-RM,Common Stock
698,ALASKA AIR GROUP INC,ALK-RM.ME,ALK-RM,Common Stock
699,HARLEY-DAVIDSON INC,HOG-RM.ME,HOG-RM,Common Stock
700,KUIBYSHEVAZOT PJSC,KAZT.ME,KAZT,Common Stock
701,SEGEZHA GROUP PJSC,SGZH.ME,SGZH,Common Stock
702,ETF AKCH ALFA CHINESE EQTY,AKCH.ME,AKCH,ETP
703,WESTERN DIGITAL CORP,WDC-RM.ME,WDC-RM,Common Stock
704,MOSAIC CO/THE,MOS-RM.ME,MOS-RM,Common Stock
705,BILIBILI INC-SPONSORED ADR,BILI-RM.ME,BILI-RM,ADR
706,NOVOLIPETSK STEEL PJSC,NLMK.ME,NLMK,Common Stock
707,EOG RESOURCES INC,EOG-RM.ME,EOG-RM,Common Stock
708,TAL EDUCATION GROUP- ADR,TAL-RM.ME,TAL-RM,ADR
709,TAKE-TWO INTERACTIVE SOFTWRE,TTWO-RM.ME,TTWO-RM,Common Stock
710,TIN'KOFF INDEKS MOSBIRZHI,TMOS.ME,TMOS,ETP
711,TFNX ETF TINKOFF FINTECH,TFNX.ME,TFNX,ETP
712,FINEX VIDEO GAMING AND ESPOR,FXES.ME,FXES,ETP
713,TYSON FOODS INC-CL A,TSN-RM.ME,TSN-RM,Common Stock
714,CENTRAL TELEGRAPH PJSC,CNTL.ME,CNTL,Common Stock
715,MOSCOW UNITED ELECTRIC GRID,MSRS.ME,MSRS,Common Stock
716,CARRIER GLOBAL CORP,CARR-RM.ME,CARR-RM,Common Stock
717,NEFAZ PJSC,NFAZ.ME,NFAZ,Common Stock
718,MOTOROLA SOLUTIONS INC,MSI-RM.ME,MSI-RM,Common Stock
719,FINEX GLOBAL EQUITY ETF USD,FXWO.ME,FXWO,ETP
720,TMK PJSC,TRMK.ME,TRMK,Common Stock
721,UTS PJSC,GRNT.ME,GRNT,Common Stock
722,L3HARRIS TECHNOLOGIES INC,LHX-RM.ME,LHX-RM,Common Stock
723,TIN'KOFF ZOLOTO,TGLD.ME,TGLD,ETP
724,TNS ENERGO YAROSAVL PJSC,YRSB.ME,YRSB,Common Stock
725,CENTENE CORP,CNC-RM.ME,CNC-RM,Common Stock
726,LOUISIANA-PACIFIC CORP,LPX-RM.ME,LPX-RM,Common Stock
